WPTType;Latitude;Longitude;WPTName;Region;Airway1;Airway2;Airway3;Direction;Chapter;Page;Alternate1;Alternate2;Alternate3;Aircraft
REP-PT;32.147.222.000;49.398.333.000;ALTAX;ALTAX,IR;;;;Outbound;;;;;;Widebody
REP-PT;33.297.222.000;49.040.000.000;NOTSA;NOTSA,IR;Q1;;;Outbound;10.1;32-72;OIII;OIIE;;Widebody
REP-PT;35.127.778.000;47.478.056.000;LOVID;LOVID,IR;Q1;;;Outbound;10.1;33-72;OITT;;;Widebody
REP-PT;37.266.944.000;45.889.444.000;ROVON;ROVON,IR;Q1;;;Outbound;10.1;33-72;OITT;;;Widebody
REP-PT;37.574.167.000;45.479.167.000;TOTBO;TOTBO,IR;Q1;;;Outbound;10.1;33-72;OITT;;;Widebody
VOR/DME;37.687.194.000;45.084.333.000;UMH;UROMIYEH,IR, Frequency:113.50;Q1;;;Outbound;10.1;33-72;OITT;;;Widebody
REP-PT;38.048.889.000;44.299.722.000;BONAM;BONAM,TU;UG81;UL124;;Outbound;10.1;33-72;OITT;;;Widebody
VOR/DME;38.465.192.000;43.325.078.000;VAN;VAN,TU, Frequency:115.20;UG81;UL124;;Outbound;10.2;5-62;LTCC;LTCS;;Widebody
VOR/DME;38.465.192.000;43.325.078.000;VAN;VAN,TU, Frequency:115.20;UL851;UA4;UL615;Outbound;10.2;6-62;LTCE;LTCG;;Widebody
REP-PT;38.594.722.000;41.403.889.000;BAYIR;BAYIR,TU;UG81;UL124;;Outbound;10.2;5-62;LTCC;LTCS;;Widebody
REP-PT;39.315.278.000;41.451.389.000;KESIR;KESIR,TU;UL852;UW71;;Outbound;10.2;6-62;LTCE;LTCG;;Widebody
VOR/DME;39.957.500.000;41.207.222.000;ERZ;ERZURUM,TU, Frequency:115.50;UW71;UL851;;Outbound;10.2;6-62;LTCE;LTCG;;Widebody
REP-PT;39.641.667.000;40.692.500.000;ULGAN;ULGAN,TU;UL852;;;Outbound;10.2;9-62;LTCE;LTCG;;Widebody
REP-PT;;;BAVTI;BAVTI,TU;UW71;UL851;;Outbound;10.2;6-62;LTCE;LTCG;;Widebody
VOR/DME;40.995.278.000;39.795.556.000;TBN;TRABZON,TU, Frequency:114.90;UW71;UL851;;Outbound;10.2;6-62;LTCE;LTCG;;Widebody
REP-PT;30.414.722.000;51.427.500.000;RADID;RADID,IR;W3;;;Outbound;10.1;16-72;OKBK;OBBI;OTBD;Widebody
REP-PT;31.488.889.000;49.950.278.000;MESVI;MESVI,IR;UL223;;;Outbound;10.1;16-72;OKBK;OBBI;OTBD;Widebody
REP-PT;39.291.667.000;42.175.000.000;DORUK;DORUK,TU;UW71;UL851;;Outbound;10.2;6-62;LTCE;LTCG;;Widebody
