WPTType;Latitude;Longitude;WPTName;Region;Airways;Airway1;Airway2;Airway3;Direction;Chapter;Page;Alternates;Alternate1;Alternate2;Alternate3;Aircraft;Path
REP-PT;32.147.222.000;49.398.333.000;ALTAX;IRAN;;;;;Outbound;;;;;;;Widebody;
REP-PT;33.297.222.000;49.040.000.000;NOTSA;IRAN;Q1;Q1;;;Outbound;10. Jan;32-72;OIII,OIEE;OIII;OIIE;;Widebody;10.132-72
REP-PT;35.127.778.000;47.478.056.000;LOVID;IRAN;Q1;Q1;;;Outbound;10. Jan;33-72;OITT;OITT;;;Widebody;10.133-72
REP-PT;37.266.944.000;45.889.444.000;ROVON;IRAN;Q1;Q1;;;Outbound;10. Jan;33-72;OITT;OITT;;;Widebody;10.133-72
REP-PT;37.574.167.000;45.479.167.000;TOTBO;IRAN;Q1;Q1;;;Outbound;10. Jan;33-72;OITT;OITT;;;Widebody;10.133-72
VOR/DME;37.687.194.000;45.084.333.000;UMH;IRAN;Q1;Q1;;;Outbound;10. Jan;33-72;OITT;OITT;;;Widebody;10.133-72
REP-PT;38.048.889.000;44.299.722.000;BONAM;TURKEY;UG81,UL124;UG81;UL124;;Outbound;10. Jan;33-72;OITT;OITT;;;Widebody;10.133-72
VOR/DME;38.465.192.000;43.325.078.000;VAN;TURKEY;UG81,UL124;UG81;UL124;;Outbound;10. Feb;Mai 62;LTCC,LTCS;LTCC;LTCS;;Widebody;10.25-62
VOR/DME;38.465.192.000;43.325.078.000;VAN;TURKEY;UL851,UA4,UL615;UL851;UA4;UL615;Outbound;10. Feb;Juni 62;LTCE,LTCG;LTCE;LTCG;;Widebody;10.26-62
REP-PT;38.594.722.000;41.403.889.000;BAYIR;TURKEY;UG81,UL124;UG81;UL124;;Outbound;10. Feb;Mai 62;LTCC,LTCS;LTCC;LTCS;;Widebody;10.25-62
REP-PT;39.315.278.000;41.451.389.000;KESIR;TURKEY;UL852,UW71;UL852;UW71;;Outbound;10. Feb;Juni 62;LTCE,LTCG;LTCE;LTCG;;Widebody;10.26-62
VOR/DME;39.957.500.000;41.207.222.000;ERZ;TURKEY;UW71,UL851;UW71;UL851;;Outbound;10. Feb;Juni 62;LTCE,LTCG;LTCE;LTCG;;Widebody;10.26-62
REP-PT;39.641.667.000;40.692.500.000;ULGAN;TURKEY;UL852;UL852;;;Outbound;10. Feb;Sep 62;LTCE,LTCG;LTCE;LTCG;;Widebody;10.29-62
REP-PT;;;BAVTI;TURKEY;UW71,UL851;UW71;UL851;;Outbound;10. Feb;Juni 62;LTCE,LTCG;LTCE;LTCG;;Widebody;10.26-62
VOR/DME;40.995.278.000;39.795.556.000;TBN;TURKEY;UW71,UL851;UW71;UL851;;Outbound;10. Feb;Juni 62;LTCE,LTCG;LTCE;LTCG;;Widebody;10.26-62
REP-PT;30.414.722.000;51.427.500.000;RADID;IRAN;W3;W3;;;Outbound;10. Jan;16-72;OKBK,OBBI,OTBD;OKBK;OBBI;OTBD;Widebody;10.116-72
REP-PT;31.488.889.000;49.950.278.000;MESVI;IRAN;UL223;UL223;;;Outbound;10. Jan;16-72;OKBK,OBBI,OTBD;OKBK;OBBI;OTBD;Widebody;10.116-72
REP-PT;39.291.667.000;42.175.000.000;DORUK;TURKEY;UW71,UL851;UW71;UL851;;Outbound;10. Feb;Juni 62;LTCE,LTCG;LTCE;LTCG;;Widebody;10.26-62
