wptname,region,airways,direction,chapter,page,alternates,aircraft,chart,ACL,updatedAt,createdAt,objectId
NOTSA,IRAN,Q1,OUTBOUND,10.1,32-72,"OIII, OIEE",Widebody,,,,,
LOVID,IRAN,Q1,OUTBOUND,10.1,33-72,OITT,Widebody,,,,,
ROVON,IRAN,Q1,OUTBOUND,10.1,33-72,OITT,Widebody,,,,,
TOTBO,IRAN,Q1,OUTBOUND,10.1,33-72,OITT,Widebody,,,,,
BONAM,TURKEY,"UG81, UL124",OUTBOUND,10.1,33-72,OITT,Widebody,,,,,
RADID,IRAN,W3,OUTBOUND,10.1,16-72,"OKBK, OBBI, OTBD",Widebody,,,,,
MESVI,IRAN,UL223,OUTBOUND,10.1,16-72,"OKBK, OBBI, OTBD",Widebody,,,,,
RETAS,OMAN,"N318, R685",OUTBOUND,10.1,5-72,"OMAA, OMAL, OOMS",Widebody,,,,,
EGROK,OMAN,"N318, R685",OUTBOUND,10.1,5-72,"OMAA, OMAL, OOMS",Widebody,,,,,
MEKNA,OMAN,"N318, R685",OUTBOUND,10.1,5-72,"OMAA, OMAL, OOMS",Widebody,,,,,
LAKLU,OMAN,"N318, R685",OUTBOUND,10.1,5-72,"OMAA, OMAL, OOMS",Widebody,,,,,
GEVED,OMAN,"N318, R685",OUTBOUND,10.1,5-72,"OMAA, OMAL, OOMS",Widebody,,,,,
PAXIM,OMAN,"P899, T506, N563",INBOUND,10.1,6-72,"OMAA, OMAL, OOMS",Widebody,,,,,
MEKNA,OMAN,"P899, T506, N563",INBOUND,10.1,6-72,"OMAA, OMAL, OOMS",Widebody,,,,,
TULBU,OMAN,"P899, T506, N563",INBOUND,10.1,6-72,"OMAA, OMAL, OOMS",Widebody,,,,,
MIXAM,OMAN,"P899, T506, N563",INBOUND,10.1,6-72,"OMAA, OMAL, OOMS",Widebody,,,,,
PAXIM,OMAN,L764,INBOUND,10.1,7-72,"OMAA, OMAL, OOMS",Widebody,,,,,
IVETO,OMAN,L764,INBOUND,10.1,7-72,"OMAA, OMAL, OOMS",Widebody,,,,,
LAGSA,IRAN,R659,OUTBOUND,10.1,8-72,"OISS, OIFM",Widebody,,,,,
KAVOT,IRAN,R659,OUTBOUND,10.1,8-72,"OISS, OIFM",Widebody,,,,,
KAVOT,IRAN,R659,OUTBOUND,10.1,9-72,OIFM,Widebody,,,,,
DAPOG,IRAN,R659,OUTBOUND,10.1,9-72,OIFM,Widebody,,,,,
LAGSA,IRAN,R659,OUTBOUND,10.1,10-72,OISS,Widebody,,,,,
KAVOT,IRAN,R659,OUTBOUND,10.1,10-72,OISS,Widebody,,,,,
UMH,IRAN,Q1,OUTBOUND,10.1,33-72,OITT,Widebody,,,,,
MCT,OMAN,"N318, R685",OUTBOUND,10.1,5-72,"OMAA, OMAL, OOMS",Widebody,,,,,
